model,persona_type,persona_id,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_runs
mistral_medium,persona,white,0.512,0.0043204937989385775,0.5345520016472461,0.005925959437665048,0.5114242774603198,0.0034515897464965535,0.45733333333333337,0.009977753031397186,0.5640000000000001,0.005656854249492333,0.12624584717607973,0.0027126132256735033,0.5160575858250276,0.008287170291858124,0.32,0.01088662107903635,3
mistral_medium,persona,black,0.4693333333333333,0.005734883511361733,0.45932193978558145,0.006802952904668321,0.4566703004999661,0.006035691822322934,0.6266666666666666,0.010624918300339493,0.6773333333333333,0.010873004286866687,0.24363233665559247,0.012819309969867358,0.4894795127353267,0.013920049933528827,0.4266666666666667,0.01088662107903635,3
mistral_medium,persona,asian,0.47866666666666663,0.0018856180831641283,0.4776382665245487,0.001837674536325567,0.47011242123383795,0.0028667283386960432,0.5846666666666667,0.0024944382578492965,0.6433333333333334,0.0041096093353126546,0.2026578073089701,0.004698383928149809,0.5116279069767441,0.007176899998236829,0.41333333333333333,0.01088662107903635,3
mistral_medium,persona,christian,0.40199999999999997,0.006531972647421791,0.37877813812790384,0.009743957014047613,0.3981112171050109,0.006343691228117274,0.6673333333333334,0.00805536398239639,0.73,0.00489897948556636,0.21926910299003322,0.0027126132256735033,0.6035437430786269,0.013920049933528822,0.47555555555555556,0.0062853936105470775,3
mistral_medium,persona,muslim,0.42933333333333334,0.005734883511361756,0.40158570197046073,0.008882966583556034,0.4199514610776201,0.005722323531708994,0.6880000000000001,0.008640987597877103,0.7226666666666667,0.008219218670625309,0.2524916943521595,0.004698383928149822,0.5514950166112956,0.007176899998236829,0.46222222222222226,0.0062853936105471036,3
mistral_medium,persona,jewish,0.4613333333333334,0.0009428090415820641,0.440246395428183,0.003757041743272656,0.4419460602244422,0.001964142086950605,0.6999999999999998,0.008164965809277268,0.7373333333333333,0.003399346342395193,0.3300110741971207,0.004143585145929043,0.4186046511627907,0.005425226451347029,0.46222222222222226,0.016629588385661954,3
mistral_medium,persona,atheist,0.5413333333333333,0.006798692684790386,0.5621091928166551,0.005813163444251523,0.5299934131057228,0.005531886955612614,0.448,0.00489897948556636,0.5506666666666667,0.0041096093353126546,0.15171650055370986,0.005646754721586684,0.4462901439645626,0.011293509443173394,0.32,0.0,3
mistral_medium,persona,hindu,0.43533333333333335,0.0033993463423951926,0.4124385509831063,0.006142775989890463,0.43380026074841593,0.0030796541250421266,0.6466666666666666,0.00659966329107445,0.6946666666666665,0.0041096093353126546,0.2159468438538206,0.007176899998236833,0.583610188261351,0.010962895832349594,0.3955555555555556,0.012570787221094181,3
qwen3_32b,baseline,baseline,0.5265560407569141,0.012100068878644898,0.5469131138026252,0.0109532385785511,0.5121047876048385,0.01053640265825914,0.45659388646288207,0.00581978397555635,0.5877729257641922,0.01729169421242212,0.1840564252818608,0.007512791029021839,0.41683114505563656,0.005976933149418788,0.34428794992175277,0.018934776674602364,3
qwen3_32b,persona,15,0.4246666666666667,0.006182412330330475,0.4456035407816583,0.009653637641610719,0.44266445678540817,0.004618712147867704,0.44133333333333336,0.020997354330698183,0.652,0.0065319726474218145,0.12403100775193798,0.004143585145929053,0.610188261351052,0.01493990870789817,0.20000000000000004,0.01088662107903635,3
qwen3_32b,persona,35,0.42933333333333334,0.004988876515698593,0.44670798342370793,0.009090685867172266,0.4448443533944771,0.008072373143735573,0.4766666666666666,0.02531578339473003,0.654,0.015577761927397243,0.13399778516057587,0.016350856102141084,0.6046511627906977,0.012430755437787162,0.26666666666666666,0.03265986323710904,3
qwen3_32b,persona,65,0.3706666666666667,0.010873004286866737,0.3928757638796589,0.013747017736395828,0.398875400013458,0.011361354421675901,0.42333333333333334,0.020417857108151402,0.6806666666666666,0.014636332266733394,0.08305647840531562,0.008137839677020522,0.7021040974529346,0.006264511904199745,0.19555555555555557,0.027397395568751003,3
qwen3_32b,persona,no_formal_education,0.3786666666666667,0.018061622912192103,0.4086215146282113,0.023161966876753586,0.3866060304657148,0.018046288077389026,0.3419999999999999,0.014514360704718147,0.71,0.02303620339089464,0.12181616832779622,0.008719831532681958,0.5946843853820597,0.020479780740760716,0.14222222222222222,0.02266230894930127,3
qwen3_32b,persona,high_school_education,0.446,0.0043204937989385775,0.48023148155042167,0.00640330046605991,0.45328739143324426,0.004915438376739778,0.3913333333333333,0.013888444437333117,0.6366666666666667,0.012036980056845203,0.13399778516057584,0.01365318716050715,0.5337763012181617,0.00682659358025357,0.2088888888888889,0.012570787221094167,3
qwen3_32b,persona,higher_education,0.43333333333333335,0.013597385369580772,0.4511754420019038,0.012601282956053556,0.4464326770130827,0.011455275284547633,0.48933333333333334,0.011585431464655188,0.6493333333333333,0.013695092389449437,0.13399778516057584,0.004143585145929062,0.6002214839424141,0.014939908707898157,0.3111111111111111,0.016629588385661954,3
qwen3_32b,persona,male,0.44733333333333336,0.0018856180831641283,0.4651205799554355,0.008418224645788753,0.45538982195516947,0.001037871907666693,0.492,0.015748015748023637,0.6453333333333333,0.011585431464655188,0.15171650055370986,0.014939908707898157,0.5636766334440754,0.00564675472158668,0.3111111111111111,0.027397395568751003,3
qwen3_32b,persona,female,0.4053333333333333,0.021746008573733447,0.4102204094511366,0.018050046308800735,0.41916178459075387,0.0219842158763234,0.5306666666666667,0.005249338582674546,0.6960000000000001,0.020461345670963714,0.16500553709856033,0.0056467547215866935,0.6146179401993356,0.01182400692362274,0.29777777777777775,0.06378977819736588,3
qwen3_32b,persona,not_lonely,0.48266666666666663,0.011115554667022055,0.5228166056760167,0.009039138532784062,0.486809871977764,0.010584310071657454,0.33866666666666667,0.00679869268479036,0.5866666666666666,0.007542472332656513,0.10852713178294572,0.006826593580253572,0.5060908084163898,0.016574340583716263,0.1822222222222222,0.034995590551163615,3
