model,run,persona_type,persona_id,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate
gpt_oss_120b,r2,persona,centrist,0.52,0.5269408750321933,0.483514458305954,0.58,0.628,0.24584717607973422,0.3754152823920266,0.5466666666666666
gpt_oss_120b,r2,persona,white,0.538,0.5450709523538174,0.4898729136648676,0.572,0.628,0.2757475083056478,0.30564784053156147,0.56
gpt_oss_120b,r2,persona,black,0.558,0.5774874983013997,0.5189450559405716,0.476,0.548,0.16943521594684385,0.3787375415282392,0.5333333333333333
gpt_oss_120b,r2,persona,asian,0.512,0.5164261391377891,0.4686859726465534,0.602,0.67,0.29900332225913623,0.31893687707641194,0.56
gpt_oss_120b,r2,persona,christian,0.516,0.5227776280323451,0.4768643306379156,0.588,0.648,0.2691029900332226,0.3488372093023256,0.56
gpt_oss_120b,r2,persona,muslim,0.54,0.54821519111431,0.4818961762519418,0.566,0.614,0.2558139534883721,0.3122923588039867,0.6266666666666667
gpt_oss_120b,r2,persona,jewish,0.542,0.5547416491464915,0.5009174865322388,0.53,0.598,0.2292358803986711,0.34551495016611294,0.5333333333333333
gpt_oss_120b,r2,persona,atheist,0.53,0.540343239321755,0.4724817138175445,0.578,0.638,0.27906976744186046,0.292358803986711,0.64
gpt_oss_120b,r2,persona,hindu,0.554,0.5631350865201281,0.5053282176353012,0.548,0.596,0.24916943521594684,0.3122923588039867,0.56
gpt_oss_120b,r3,baseline,baseline,0.524,0.5293029551432005,0.48896976553890165,0.558,0.642,0.26245847176079734,0.3488372093023256,0.49333333333333335
gpt_oss_120b,r3,persona,15,0.532,0.5363655714768895,0.49148290789466476,0.58,0.632,0.2691029900332226,0.33554817275747506,0.5333333333333333
gpt_oss_120b,r3,persona,35,0.52,0.5275779964886006,0.4721645449339567,0.576,0.648,0.2724252491694352,0.32558139534883723,0.5866666666666667
gpt_oss_120b,r3,persona,65,0.516,0.5191269518874508,0.4734467712810189,0.618,0.666,0.29900332225913623,0.3222591362126246,0.5866666666666667
gpt_oss_120b,r3,persona,no_formal_education,0.538,0.5458742158997046,0.49172384635962335,0.548,0.632,0.2691029900332226,0.30564784053156147,0.5466666666666666
gpt_oss_120b,r3,persona,high_school_education,0.51,0.5166029988749364,0.46876132253151864,0.6,0.652,0.2691029900332226,0.3554817275747508,0.5866666666666667
gpt_oss_120b,r3,persona,higher_education,0.514,0.5194933296146516,0.47041898646929664,0.6,0.664,0.292358803986711,0.3222591362126246,0.5733333333333334
gpt_oss_120b,r3,persona,male,0.51,0.5194458648700224,0.4707100277656567,0.582,0.65,0.26245847176079734,0.3554817275747508,0.5733333333333334
gpt_oss_120b,r3,persona,female,0.512,0.5183498152032764,0.4646194741340082,0.608,0.668,0.29900332225913623,0.3122923588039867,0.6
gpt_oss_120b,r3,persona,not_lonely,0.528,0.534380336912754,0.48339399553278906,0.58,0.648,0.27906976744186046,0.31561461794019935,0.5866666666666667
gpt_oss_120b,r3,persona,somewhat_lonely,0.526,0.5330543927750239,0.4904818593608691,0.572,0.632,0.2591362126245847,0.3521594684385382,0.52
gpt_oss_120b,r3,persona,left-wing,0.514,0.5200562631694329,0.4633810942199041,0.614,0.674,0.3122923588039867,0.292358803986711,0.6133333333333333
gpt_oss_120b,r3,persona,right-wing,0.534,0.5404157637706141,0.4879824062653615,0.562,0.646,0.2956810631229236,0.2857142857142857,0.5066666666666667
gpt_oss_120b,r3,persona,centrist,0.534,0.5427994405202031,0.4866258611731886,0.578,0.63,0.2691029900332226,0.31561461794019935,0.6
gpt_oss_120b,r3,persona,white,0.544,0.5499296590861272,0.503825336996359,0.576,0.624,0.27906976744186046,0.3089700996677741,0.52
gpt_oss_120b,r3,persona,black,0.56,0.576493688905042,0.5258393069423667,0.488,0.548,0.1760797342192691,0.3853820598006645,0.49333333333333335
gpt_oss_120b,r3,persona,asian,0.526,0.53148833174196,0.47563325876888535,0.586,0.654,0.292358803986711,0.29900332225913623,0.5866666666666667
gpt_oss_120b,r3,persona,christian,0.524,0.5315264704759723,0.48071809356591216,0.594,0.642,0.2757475083056478,0.3289036544850498,0.5866666666666667
gpt_oss_120b,r3,persona,muslim,0.532,0.5408067356231412,0.4866375722394067,0.568,0.62,0.25249169435215946,0.3388704318936877,0.5733333333333334
gpt_oss_120b,r3,persona,jewish,0.53,0.54176898505935,0.48545306502807134,0.536,0.62,0.2425249169435216,0.3388704318936877,0.5466666666666666
gpt_oss_120b,r3,persona,atheist,0.528,0.5359278281874603,0.48226694117220187,0.58,0.636,0.2691029900332226,0.32558139534883723,0.5866666666666667
gpt_oss_120b,r3,persona,hindu,0.518,0.5265771398258701,0.4765633495669818,0.572,0.632,0.24916943521594684,0.36212624584717606,0.56
mistral_medium,r1,baseline,baseline,0.464,0.4526981884942322,0.44581268372403987,0.662,0.734,0.3289036544850498,0.3953488372093023,0.4266666666666667
mistral_medium,r1,persona,15,0.452,0.44134861344256643,0.45188042256174854,0.602,0.67,0.2026578073089701,0.5614617940199336,0.36
mistral_medium,r1,persona,35,0.45490981963927857,0.4492595890278732,0.45017794215880375,0.5991983967935872,0.6713426853707415,0.21,0.5366666666666666,0.4
mistral_medium,r1,persona,65,0.3983903420523139,0.3792172015305554,0.40504437037875674,0.6217303822937625,0.7183098591549296,0.1939799331103679,0.6321070234113713,0.37333333333333335
mistral_medium,r1,persona,no_formal_education,0.504,0.5220008920177087,0.5000102210362442,0.482,0.594,0.16279069767441862,0.4883720930232558,0.32
mistral_medium,r1,persona,high_school_education,0.46,0.47297626599569886,0.46811433142647196,0.516,0.616,0.12624584717607973,0.5980066445182725,0.36
mistral_medium,r1,persona,higher_education,0.452,0.44493729225279627,0.45005192250508935,0.598,0.662,0.1893687707641196,0.5681063122923588,0.4
mistral_medium,r1,persona,male,0.472,0.4858455012524455,0.4782086677758885,0.506,0.61,0.1362126245847176,0.5714285714285714,0.3333333333333333
mistral_medium,r1,persona,female,0.428,0.4132961954438547,0.4228150454807033,0.638,0.698,0.20930232558139536,0.5780730897009967,0.4533333333333333
mistral_medium,r1,persona,not_lonely,0.522,0.5464583860232546,0.5152868319078997,0.438,0.562,0.13953488372093023,0.4750830564784053,0.30666666666666664
mistral_medium,r1,persona,somewhat_lonely,0.452,0.4647569289171432,0.46083717915519423,0.51,0.634,0.14285714285714285,0.584717607973422,0.32
mistral_medium,r1,persona,left-wing,0.408,0.37538851775388,0.3824482927447214,0.77,0.794,0.33554817275747506,0.4750830564784053,0.6133333333333333
mistral_medium,r1,persona,right-wing,0.462,0.4831142330686305,0.4664631374729094,0.466,0.634,0.15282392026578073,0.5348837209302325,0.29333333333333333
mistral_medium,r1,persona,centrist,0.46,0.49146532419724254,0.48920708176147193,0.412,0.572,0.053156146179401995,0.6578073089700996,0.21333333333333335
mistral_medium,r1,persona,white,0.51,0.5295852327257433,0.5116452734154556,0.468,0.568,0.12956810631229235,0.5249169435215947,0.30666666666666664
mistral_medium,r1,persona,black,0.476,0.46646663879874034,0.4617945649661883,0.626,0.674,0.24916943521594684,0.4750830564784053,0.4266666666666667
mistral_medium,r1,persona,asian,0.48,0.4778883714089616,0.4728035117043843,0.582,0.638,0.19601328903654486,0.521594684385382,0.4
mistral_medium,r1,persona,christian,0.41,0.39174557552868855,0.4061043126163169,0.656,0.724,0.22259136212624583,0.584717607973422,0.4666666666666667
mistral_medium,r1,persona,muslim,0.43,0.4034660198955974,0.4206828969152913,0.684,0.724,0.2558139534883721,0.5448504983388704,0.4533333333333333
mistral_medium,r1,persona,jewish,0.46,0.4365266511509178,0.44027848445054213,0.71,0.742,0.33554817275747506,0.4186046511627907,0.4666666666666667
mistral_medium,r1,persona,atheist,0.548,0.5663269645697557,0.5355217036313672,0.454,0.55,0.15946843853820597,0.43521594684385384,0.32
mistral_medium,r1,persona,hindu,0.434,0.4139085007410004,0.43313214116542326,0.642,0.69,0.2059800664451827,0.5913621262458472,0.41333333333333333
mistral_medium,r2,baseline,baseline,0.478,0.47278149609661935,0.45844081153874633,0.638,0.714,0.31893687707641194,0.3787375415282392,0.4266666666666667
mistral_medium,r2,persona,15,0.446,0.43918448998623144,0.44423050409857795,0.6,0.672,0.19601328903654486,0.5647840531561462,0.4
mistral_medium,r2,persona,35,0.4649298597194389,0.46451947260270365,0.460101747893392,0.5791583166332666,0.6593186372745491,0.20666666666666667,0.52,0.38666666666666666
mistral_medium,r2,persona,65,0.4084507042253521,0.40215686643536763,0.41572828003562057,0.5955734406438632,0.6961770623742455,0.17333333333333334,0.6233333333333333,0.4
mistral_medium,r2,persona,no_formal_education,0.498,0.5181148262306798,0.49430075344709484,0.47,0.606,0.17275747508305647,0.4750830564784053,0.29333333333333333
mistral_medium,r2,persona,high_school_education,0.478,0.48819303285546944,0.4857307103499997,0.508,0.608,0.14285714285714285,0.5681063122923588,0.29333333333333333
mistral_medium,r2,persona,higher_education,0.466,0.46683807254657556,0.45714659371011157,0.588,0.656,0.2026578073089701,0.5182724252491694,0.44
mistral_medium,r2,persona,male,0.478,0.49618728225179837,0.4800795381440543,0.496,0.604,0.1362126245847176,0.5514950166112956,0.36
mistral_medium,r2,persona,female,0.436,0.42564950677972563,0.43131292823613254,0.632,0.688,0.2059800664451827,0.5681063122923588,0.4666666666666667
mistral_medium,r2,persona,not_lonely,0.532,0.5556438413610388,0.5273645361212401,0.438,0.55,0.1362126245847176,0.4750830564784053,0.29333333333333333
mistral_medium,r2,persona,somewhat_lonely,0.472,0.4871254643377931,0.47886220831426307,0.5,0.612,0.13953488372093023,0.5647840531561462,0.32
mistral_medium,r2,persona,left-wing,0.416,0.3843307669202272,0.3917287161288096,0.766,0.786,0.33554817275747506,0.4684385382059801,0.6
mistral_medium,r2,persona,right-wing,0.462,0.47958139944455735,0.4679817890344206,0.464,0.64,0.15614617940199335,0.5382059800664452,0.26666666666666666
mistral_medium,r2,persona,centrist,0.46,0.4952435725986951,0.4875654622163296,0.406,0.57,0.04983388704318937,0.6511627906976745,0.24
mistral_medium,r2,persona,white,0.518,0.5428812305932342,0.5155367616349803,0.444,0.556,0.12292358803986711,0.5049833887043189,0.32
mistral_medium,r2,persona,black,0.47,0.4613294835883071,0.4600200883374617,0.614,0.666,0.22591362126245848,0.5083056478405316,0.41333333333333333
mistral_medium,r2,persona,asian,0.476,0.4752729781098868,0.4661409054901003,0.588,0.648,0.2059800664451827,0.5083056478405316,0.4266666666666667
mistral_medium,r2,persona,christian,0.402,0.3763318967190836,0.39764262140499756,0.674,0.73,0.21926910299003322,0.6079734219269103,0.48
