model,run,persona_type,persona_id,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate
qwen3_32b,r3,persona,female,0.376,0.38682996128171293,0.38934846161385267,0.538,0.722,0.15946843853820597,0.6312292358803987,0.38666666666666666
qwen3_32b,r3,persona,not_lonely,0.498,0.5350423497267759,0.5017287323753626,0.332,0.576,0.11627906976744186,0.4883720930232558,0.13333333333333333
qwen3_32b,r3,persona,somewhat_lonely,0.34,0.35614629660470803,0.36523158640853404,0.42,0.712,0.08637873754152824,0.7242524916943521,0.17333333333333334
qwen3_32b,r3,persona,left-wing,0.432,0.44072046138726817,0.44726765583801237,0.532,0.64,0.11960132890365449,0.6445182724252492,0.36
qwen3_32b,r3,persona,right-wing,0.45,0.4905309386808911,0.4537225727729515,0.322,0.626,0.10963455149501661,0.5249169435215947,0.17333333333333334
qwen3_32b,r3,persona,centrist,0.434,0.4770901673279282,0.4500019167002089,0.332,0.612,0.07308970099667775,0.5980066445182725,0.16
qwen3_32b,r3,persona,white,0.492,0.5295332019307895,0.5007145875798147,0.376,0.564,0.08637873754152824,0.5448504983388704,0.25333333333333335
qwen3_32b,r3,persona,black,0.4,0.4215779670993525,0.4117579024546403,0.504,0.688,0.1461794019933555,0.6046511627906976,0.37333333333333335
qwen3_32b,r3,persona,asian,0.444,0.44325164906824993,0.46234529021553666,0.53,0.634,0.12956810631229235,0.6445182724252492,0.25333333333333335
qwen3_32b,r3,persona,christian,0.394,0.41798125056267704,0.41835948771575054,0.43,0.666,0.09634551495016612,0.6644518272425249,0.21333333333333335
qwen3_32b,r3,persona,muslim,0.398,0.4155621291792031,0.4250152981362385,0.454,0.658,0.08970099667774087,0.6877076411960132,0.22666666666666666
qwen3_32b,r3,persona,jewish,0.41767068273092367,0.4193919353142819,0.4337921970430805,0.5281124497991968,0.6726907630522089,0.14715719063545152,0.6354515050167224,0.28
qwen3_32b,r3,persona,atheist,0.474,0.5134123342032819,0.48155999128129245,0.374,0.59,0.10299003322259136,0.5348837209302325,0.24
qwen3_32b,r3,persona,hindu,0.412,0.4432308210740732,0.43261255079675975,0.366,0.642,0.08637873754152824,0.6345514950166113,0.12
