model,persona_type,persona_id,subgroup,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_samples_mean,n_runs
mistral_medium,persona,female,other,0.4823529411764706,0.009605842128561493,0.44698832533171845,0.014494735177676956,0.48822278753479836,0.009167847504023469,0.603921568627451,0.005545935538718052,0.6431372549019608,0.014673166222642905,0.2222222222222222,0.009820927516479817,0.548611111111111,0.009820927516479845,0.2962962962962963,0.02618914004394619,85.0,3
mistral_medium,persona,not_lonely,other,0.5333333333333333,0.005545935538718,0.5391572025661964,0.0060207520545164615,0.5336782906520284,0.003245462968264639,0.4392156862745098,0.005545935538718026,0.5725490196078431,0.005545935538718,0.1875,0.0170103454359943,0.4166666666666667,0.03402069087198858,0.2777777777777778,0.0,85.0,3
mistral_medium,persona,somewhat_lonely,other,0.4980392156862745,0.029346332445285825,0.4960836119985026,0.03140317168490131,0.507390696132179,0.02651680124913977,0.47843137254901963,0.014673166222642925,0.6039215686274509,0.024174172560662656,0.18055555555555555,0.009820927516479831,0.5,0.04500514373894348,0.25925925925925924,0.026189140043946214,85.0,3
mistral_medium,persona,left-wing,other,0.4509803921568627,0.011091871077436026,0.41459122533635057,0.014561748802672156,0.4409526417563172,0.011892480266955633,0.7450980392156863,0.005545935538718,0.7529411764705882,0.009605842128561448,0.36111111111111116,0.009820927516479817,0.4166666666666667,0.0170103454359943,0.5,0.04536092116265147,85.0,3
mistral_medium,persona,right-wing,other,0.46666666666666673,0.0146731662226429,0.48690655315003767,0.012792035281268998,0.4794231792868964,0.02080349343182876,0.30980392156862746,0.0146731662226429,0.6078431372549019,0.024174172560662663,0.09722222222222222,0.025983731852596816,0.5277777777777778,0.025983731852596812,0.24074074074074073,0.026189140043946214,85.0,3
mistral_medium,persona,centrist,other,0.5176470588235293,0.009605842128561493,0.5235875467787519,0.012392301983115141,0.5524290934415653,0.0077998043323017595,0.3647058823529412,0.019211684257122965,0.5137254901960784,0.011091871077436052,0.05555555555555555,0.009820927516479828,0.6319444444444445,0.01964185503295969,0.0925925925925926,0.026189140043946204,85.0,3
mistral_medium,persona,white,other,0.5490196078431372,0.014673166222642905,0.5609035149712612,0.0165141144213012,0.5582644769772251,0.0120458098508485,0.37254901960784315,0.019996154955265827,0.5215686274509803,0.014673166222642895,0.125,0.0,0.46527777777777773,0.025983731852596816,0.2037037037037037,0.026189140043946204,85.0,3
mistral_medium,persona,black,other,0.4823529411764706,0.03327561323230813,0.4537659088908157,0.040383138655961125,0.4873910202706986,0.03288608256289615,0.5843137254901961,0.03373460889036326,0.6392156862745098,0.03636713135488509,0.2152777777777778,0.009820927516479817,0.5347222222222222,0.0392837100659193,0.3148148148148148,0.02618914004394619,85.0,3
mistral_medium,persona,asian,other,0.47843137254901963,0.011091871077436052,0.45492786726728474,0.013824976155374015,0.4882037408460567,0.011109493966916668,0.5568627450980391,0.011091871077436052,0.6274509803921569,0.011091871077436,0.1875,0.0,0.5625,0.017010345435994324,0.29629629629629634,0.02618914004394619,85.0,3
mistral_medium,persona,christian,other,0.44705882352941173,0.016637806616154053,0.40295983770835075,0.018313382380526745,0.45061281878932374,0.015211539152658271,0.6431372549019607,0.011091871077436052,0.6901960784313727,0.011091871077436052,0.24305555555555555,0.009820927516479831,0.5694444444444443,0.025983731852596812,0.3333333333333333,0.0,85.0,3
mistral_medium,persona,muslim,other,0.4274509803921569,0.005545935538718026,0.3758088204255328,0.006983195718649503,0.42954495407354615,0.005100823242389958,0.6666666666666666,0.005545935538718,0.6980392156862744,0.005545935538718053,0.2222222222222222,0.009820927516479817,0.6180555555555555,0.01964185503295969,0.3888888888888889,0.0,85.0,3
