model,group,persona,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,Religion,hin,0.6999630899659043,0.005899216781968636,0.6566164154103853,0.010325651596262938,199.0,199
mistral_medium,Age,15,0.6491508223414825,0.0059217172495513865,0.5879396984924622,0.010855512057634601,199.0,199
mistral_medium,Age,35,0.6419569957664558,0.0052472146472155225,0.5661641541038526,0.008541071212048201,199.0,199
mistral_medium,Age,65,0.629030874186532,0.00961477075198208,0.5504295563857332,0.023188255882645097,198.0,199
mistral_medium,Education,nfe,0.6339925995180444,0.003935088626031121,0.5544388609715243,0.0062674328086665555,199.0,199
mistral_medium,Education,hs,0.6444002794226259,0.004126248090348326,0.5829145728643216,0.008205995788218344,199.0,199
mistral_medium,Education,he,0.6423679198828076,0.0034351352631877326,0.5812395309882747,0.014409255053672756,199.0,199
mistral_medium,Gender,m,0.6531372677716879,0.0036497412543984743,0.6030150753768845,0.010855512057634601,199.0,199
mistral_medium,Gender,f,0.6422098826118868,0.00408402946593976,0.5661641541038526,0.008541071212048203,199.0,199
mistral_medium,Loneliness,nl,0.6300268604439875,0.006403463970377179,0.5393634840871021,0.006267432808666595,199.0,199
mistral_medium,Loneliness,sl,0.6327664482051455,0.004179057636854585,0.5494137353433836,0.0023688669386483585,199.0,199
mistral_medium,Political,l,0.6266041163728864,0.004769698978964463,0.559463986599665,0.011844334693242002,199.0,199
mistral_medium,Political,r,0.6441109474305743,0.005216638960775477,0.5896147403685091,0.00947546775459359,199.0,199
mistral_medium,Political,c,0.6511009534161979,0.0047920574304362055,0.5996649916247906,0.01553369932243838,199.0,199
mistral_medium,Race,w,0.6735559844321223,0.00795501333630591,0.6180904522613065,0.0041029978941091935,199.0,199
mistral_medium,Race,b,0.6624413243923422,0.006764781036453552,0.5946398659966499,0.01318929292129282,199.0,199
mistral_medium,Race,a,0.6692180224339843,0.007165439304709916,0.6147403685092128,0.014409255053672713,199.0,199
mistral_medium,Religion,chr,0.6434254491515891,0.0015912233046168334,0.5728643216080402,0.004102997894109148,199.0,199
mistral_medium,Religion,mus,0.6524935142692235,0.004496444796217197,0.5979899497487438,0.004102997894109148,199.0,199
mistral_medium,Religion,jew,0.6492075335300678,0.008572824077232555,0.5611390284757118,0.012534865617333102,199.0,199
mistral_medium,Religion,ath,0.6464684319456132,0.0034645952750765076,0.5812395309882746,0.01318929292129282,199.0,199
mistral_medium,Religion,hin,0.6419223941033654,0.001749972388511074,0.577889447236181,0.010855512057634601,199.0,199
qwen3_32b,Age,15,0.6714270497995596,0.014241600923788384,0.5946398659966499,0.012534865617333153,199.0,199
qwen3_32b,Age,35,0.6633765925736889,0.01118964935527213,0.611390284757119,0.03584746157291911,199.0,199
qwen3_32b,Age,65,0.653675524061951,0.012405606092582675,0.5695142378559463,0.012534865617333153,199.0,199
qwen3_32b,Education,nfe,0.6414677875705818,0.006758227671304189,0.5862646566164155,0.01318929292129282,199.0,199
qwen3_32b,Education,hs,0.6638454465946655,0.007334620528765512,0.6063651591289783,0.014409255053672756,199.0,199
qwen3_32b,Education,he,0.6632621966476576,0.007291254516619219,0.5996649916247906,0.010325651596262938,199.0,199
qwen3_32b,Gender,m,0.6710035966214162,0.012515696364647201,0.6130653266331658,0.008205995788218387,199.0,199
qwen3_32b,Gender,f,0.6666097616656504,0.01080572317921862,0.5862646566164154,0.008541071212048251,199.0,199
qwen3_32b,Loneliness,nl,0.6443454051206317,0.0029746138460819455,0.5795644891122278,0.006267432808666556,199.0,199
qwen3_32b,Loneliness,sl,0.6364771153913463,0.010662400369955277,0.5628140703517587,0.007106600815945232,199.0,199
qwen3_32b,Political,l,0.6489461923192248,0.007947026906594849,0.5745393634840871,0.012534865617333142,199.0,199
qwen3_32b,Political,r,0.6511679192912164,0.006660752034789736,0.5896147403685091,0.016582068570538823,199.0,199
qwen3_32b,Political,c,0.6658341026269073,0.0032107944366393413,0.6063651591289781,0.004737733877296821,199.0,199
qwen3_32b,Race,w,0.6703517263334646,0.007994238835952306,0.6130653266331659,0.012308993682327535,199.0,199
qwen3_32b,Race,b,0.6672466899644,0.002343023418061744,0.6063651591289781,0.014409255053672756,199.0,199
qwen3_32b,Race,a,0.6818129884007261,0.005651905586332723,0.6231155778894473,0.025623213636144657,199.0,199
qwen3_32b,Religion,chr,0.6646014339665772,0.008088835745146626,0.6046901172529314,0.0307952702024292,199.0,199
qwen3_32b,Religion,mus,0.677668380053626,0.010304464389782494,0.6465661641541037,0.024041373692474582,199.0,199
qwen3_32b,Religion,jew,0.6640254073075519,0.006403717047094952,0.6147403685092128,0.010325651596262987,199.0,199
qwen3_32b,Religion,ath,0.6616338594776598,0.002204775296294476,0.6197654941373535,0.0023688669386484106,199.0,199
qwen3_32b,Religion,hin,0.664439240342301,0.004187798857624392,0.609715242881072,0.01658206857053877,199.0,199
