model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
qwen3_32b,BO,45_m_b,0.47627167242732266,0.006683812298885004,0.4033333333333333,0.009977753031397167,500.0,500
qwen3_32b,BO,45_m_l,0.483439618769081,0.009760638728346573,0.422,0.014696938456699058,500.0,500
qwen3_32b,BO,45_m_w,0.4793724714851321,0.0022213318704483067,0.4073333333333333,0.0033993463423951675,500.0,500
qwen3_32b,BO,45_f_b,0.48143445421884984,0.0029035850730690974,0.40066666666666667,0.011585431464655164,500.0,500
qwen3_32b,BO,45_f_l,0.4773303296243605,0.008476472867233667,0.3960000000000001,0.02303620339089466,500.0,500
qwen3_32b,BO,45_f_w,0.48274773522275555,0.0025870586544227948,0.4073333333333333,0.0024944382578492717,500.0,500
qwen3_32b,BY,25_m_b,0.44274452798663394,0.00156340385494818,0.3153333333333333,0.003399346342395193,500.0,500
qwen3_32b,BY,25_m_l,0.44241963882898777,0.002675486319041236,0.30466666666666664,0.008219218670625309,500.0,500
qwen3_32b,BY,25_m_w,0.4410753695026457,0.0034839191219362344,0.30666666666666664,0.005734883511361756,500.0,500
qwen3_32b,BY,25_f_b,0.4408981657596484,0.005241747129972864,0.30466666666666664,0.005249338582674546,500.0,500
qwen3_32b,BY,25_f_l,0.43945398002028613,0.0025407887501171476,0.3073333333333333,0.00659966329107445,500.0,500
qwen3_32b,BY,25_f_w,0.4446650334382672,0.001984060088481741,0.324,0.01019803902718558,500.0,500
qwen3_32b,BY,45_m_b,0.43656641044236566,0.007309174344534677,0.3073333333333333,0.01517307556898807,500.0,500
qwen3_32b,BY,45_m_l,0.43840871812512744,0.004083272753143258,0.3033333333333333,0.006182412330330475,500.0,500
qwen3_32b,BY,45_m_w,0.4385097338100104,0.004731761931562446,0.30066666666666664,0.009285592184789422,500.0,500
qwen3_32b,BY,45_f_b,0.4445446616755188,0.006278723171868667,0.3113333333333333,0.010873004286866737,500.0,500
qwen3_32b,BY,45_f_l,0.4391307245836104,0.0015586120384354092,0.308,0.01275408431313934,500.0,500
qwen3_32b,BY,45_f_w,0.43384578853964445,0.008905395647106264,0.30266666666666664,0.009428090415820642,500.0,500
qwen3_32b,LO,25_m_b,0.4909704000690143,0.005736269590608659,0.36933333333333335,0.00659966329107445,500.0,500
qwen3_32b,LO,25_m_l,0.4923838159689089,0.006436276820533481,0.36199999999999993,0.014966629547095755,500.0,500
qwen3_32b,LO,25_m_w,0.4971738123885862,0.006661726035139325,0.3753333333333333,0.01236482466066095,500.0,500
qwen3_32b,LO,25_f_b,0.49290789718948363,0.0019339565772817863,0.36400000000000005,0.0043204937989385775,500.0,500
qwen3_32b,LO,25_f_l,0.4935321547265154,0.003055515880659792,0.36200000000000004,0.014236104336041736,500.0,500
qwen3_32b,LO,25_f_w,0.4921999602479958,0.006281403290781326,0.36000000000000004,0.01019803902718558,500.0,500
qwen3_32b,LO,45_m_b,0.4883189413542846,0.004462040637677091,0.35799999999999993,0.010708252269472683,500.0,500
qwen3_32b,LO,45_m_l,0.49110091684239027,0.004693151975325256,0.36066666666666664,0.009843215373488942,500.0,500
qwen3_32b,LO,45_m_w,0.4871434695622012,0.007648976658214029,0.35333333333333333,0.007717224601860157,500.0,500
qwen3_32b,LO,45_f_b,0.4953272277437651,0.0026066722798259753,0.3746666666666667,0.0037712361663282566,500.0,500
qwen3_32b,LO,45_f_l,0.4904154691201778,0.0032099307817982864,0.36599999999999994,0.008640987597877155,500.0,500
qwen3_32b,LO,45_f_w,0.48796422302041575,0.007293627001553485,0.36533333333333334,0.015691469727919776,500.0,500
qwen3_32b,LY,25_m_b,0.4532467766438362,0.006789463004637295,0.32466666666666666,0.012684198393626975,500.0,500
qwen3_32b,LY,25_m_l,0.44835001352849724,0.002645195405867937,0.322,0.007483314773547889,500.0,500
qwen3_32b,LY,25_m_w,0.450768819776715,0.0005631172759472903,0.32466666666666666,0.0037712361663282566,500.0,500
qwen3_32b,LY,25_f_b,0.4538875491152587,0.008242380016563156,0.326,0.024385788210895848,500.0,500
qwen3_32b,LY,25_f_l,0.4533053688371032,0.006989211833066915,0.32266666666666666,0.010624918300339493,500.0,500
qwen3_32b,LY,25_f_w,0.45611305296584,0.003885497105940342,0.33066666666666666,0.007363574011458181,500.0,500
qwen3_32b,LY,45_m_b,0.4591690195139117,0.006893858182751116,0.334,0.016573070526208065,500.0,500
qwen3_32b,LY,45_m_l,0.4611206534722021,0.002693352849725884,0.3466666666666667,0.008379870059984345,500.0,500
qwen3_32b,LY,45_m_w,0.4590638509045837,0.006395234487648401,0.3313333333333333,0.0041096093353126546,500.0,500
qwen3_32b,LY,45_f_b,0.4557062336070084,0.004109753510460976,0.324,0.009933109617167568,500.0,500
qwen3_32b,LY,45_f_l,0.44876653248712134,0.006297949862920522,0.32266666666666666,0.01309792180292568,500.0,500
qwen3_32b,LY,45_f_w,0.45184788454641783,0.0029108800107779166,0.328,0.011313708498984745,500.0,500
qwen3_32b,WO,25_m_b,0.5214318452617223,0.005759123604671918,0.414,0.017663521732655684,500.0,500
qwen3_32b,WO,25_m_l,0.5222595703546646,0.0043846096412233065,0.418,0.007118052168020881,500.0,500
qwen3_32b,WO,25_m_w,0.5226874325990926,0.008620464623117035,0.4080000000000001,0.009092121131323887,500.0,500
qwen3_32b,WO,25_f_b,0.5267368225214916,0.005748374942332767,0.412,0.014696938456699058,500.0,500
qwen3_32b,WO,25_f_l,0.5228653329958766,0.0018786709695008679,0.4106666666666667,0.004109609335312634,500.0,500
qwen3_32b,WO,25_f_w,0.5249267358775276,0.006130811938197796,0.42933333333333334,0.010873004286866737,500.0,500
qwen3_32b,WO,45_m_b,0.5236927542014237,0.005314658380514876,0.41333333333333333,0.010873004286866718,500.0,500
qwen3_32b,WO,45_m_l,0.5243870519906234,0.002340967076869341,0.412,0.00848528137423855,500.0,500
qwen3_32b,WO,45_m_w,0.5237857191151275,0.003490535019406534,0.4086666666666667,0.01087300428686671,500.0,500
qwen3_32b,WO,45_f_b,0.5262192001726064,0.004175413126016212,0.4206666666666667,0.009428090415820642,500.0,500
qwen3_32b,WO,45_f_l,0.521559959228839,0.004061718264687053,0.40066666666666667,0.00997775303139716,500.0,500
qwen3_32b,WO,45_f_w,0.5256496854767762,0.005590595128763841,0.416,0.008485281374238578,500.0,500
qwen3_32b,WY,25_m_b,0.48576938841035716,0.001334519310637197,0.36066666666666664,0.004988876515698593,500.0,500
qwen3_32b,WY,25_m_l,0.49073351726719694,0.0013007888585189085,0.37200000000000005,0.005887840577551903,500.0,500
qwen3_32b,WY,25_m_w,0.4885268879016545,0.004144690638284922,0.35666666666666663,0.006182412330330475,500.0,500
qwen3_32b,WY,25_f_b,0.4925961863693566,0.004278257274191171,0.36133333333333334,0.007542472332656513,500.0,500
qwen3_32b,WY,25_f_l,0.48674185785622814,0.00507047162614202,0.35666666666666663,0.005734883511361756,500.0,500
