model,group,persona_text,accuracy_mean,accuracy_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
mistral_medium,LY,A 25-year-old African American Female,0.6827059151770744,0.004492269894860133,340.6666666666667,499.0,1.0,False,3,3
mistral_medium,LY,A 25-year-old Hispanic Female,0.6913333333333332,0.0018856180831641283,345.6666666666667,500.0,0.0,True,3,3
mistral_medium,LY,A 25-year-old Caucasian Female,0.6946666666666665,0.0024944382578492965,347.3333333333333,500.0,0.0,False,3,3
mistral_medium,LY,A 45-year-old African American Male,0.686,0.005887840577551853,343.0,500.0,0.0,False,3,3
mistral_medium,LY,A 45-year-old Hispanic Male,0.6877902471609887,0.00596604312167271,343.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,LY,A 45-year-old Caucasian Male,0.6913333333333332,0.005734883511361709,345.6666666666667,500.0,0.0,False,3,3
mistral_medium,LY,A 45-year-old African American Female,0.6874181726684969,0.003948065075519535,342.3333333333333,498.0,2.0,False,3,3
mistral_medium,LY,A 45-year-old Hispanic Female,0.6893333333333332,0.0009428090415820641,344.6666666666667,500.0,0.0,False,3,3
mistral_medium,LY,A 45-year-old Caucasian Female,0.6993333333333333,0.0041096093353126546,349.6666666666667,500.0,0.0,False,3,3
mistral_medium,WO,A 25-year-old African American Male,0.7184796259185037,0.004945713501953088,359.0,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,WO,A 25-year-old Hispanic Male,0.7258156312625251,0.0018633639685479418,362.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,WO,A 25-year-old Caucasian Male,0.7360000000000001,0.00489897948556636,368.0,500.0,0.0,False,3,3
mistral_medium,WO,A 25-year-old African American Female,0.73146219078049,0.00851466494119408,365.0,499.0,1.0,False,3,3
mistral_medium,WO,A 25-year-old Hispanic Female,0.7280000000000001,0.0032659863237109073,364.0,500.0,0.0,False,3,3
mistral_medium,WO,A 25-year-old Caucasian Female,0.7306666666666667,0.0009428090415820641,365.3333333333333,500.0,0.0,False,3,3
mistral_medium,WO,A 45-year-old African American Male,0.7306666666666667,0.0018856180831641283,365.3333333333333,500.0,0.0,False,3,3
mistral_medium,WO,A 45-year-old Hispanic Male,0.7318236472945893,0.005536368747665282,365.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,WO,A 45-year-old Caucasian Male,0.7426666666666666,0.007542472332656513,371.3333333333333,500.0,0.0,True,3,3
mistral_medium,WO,A 45-year-old African American Female,0.7248975229123545,0.004442390035215474,361.0,498.0,2.0,False,3,3
mistral_medium,WO,A 45-year-old Hispanic Female,0.7319999999999999,0.0016329931618554536,366.0,500.0,0.0,False,3,3
mistral_medium,WO,A 45-year-old Caucasian Female,0.7413333333333334,0.003399346342395193,370.6666666666667,500.0,0.0,True,3,3
mistral_medium,WY,A 25-year-old African American Male,0.6664408817635271,0.004370145569257043,333.0,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,WY,A 25-year-old Hispanic Male,0.6737835671342686,0.0026884856160693123,336.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,WY,A 25-year-old Caucasian Male,0.6773333333333333,0.0009428090415820641,338.6666666666667,500.0,0.0,True,3,3
mistral_medium,WY,A 25-year-old African American Female,0.6666724667541241,0.0035755035328899815,332.6666666666667,499.0,1.0,False,3,3
mistral_medium,WY,A 25-year-old Hispanic Female,0.6713333333333334,0.0024944382578492965,335.6666666666667,500.0,0.0,False,3,3
mistral_medium,WY,A 25-year-old Caucasian Female,0.6766666666666667,0.0018856180831641283,338.3333333333333,500.0,0.0,True,3,3
mistral_medium,WY,A 45-year-old African American Male,0.6733333333333333,0.003399346342395193,336.6666666666667,500.0,0.0,False,3,3
mistral_medium,WY,A 45-year-old Hispanic Male,0.6771182364729459,0.0008334424957584244,338.3333333333333,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,WY,A 45-year-old Caucasian Male,0.6786666666666666,0.004988876515698593,339.3333333333333,500.0,0.0,False,3,3
mistral_medium,WY,A 45-year-old African American Female,0.6673391495712194,0.001972634839115198,332.3333333333333,498.0,2.0,False,3,3
mistral_medium,WY,A 45-year-old Hispanic Female,0.674,0.0043204937989385775,337.0,500.0,0.0,False,3,3
mistral_medium,WY,A 45-year-old Caucasian Female,0.6773333333333333,0.0024944382578492965,338.6666666666667,500.0,0.0,False,3,3
qwen3_32b,BO,A 25-year-old African American Male,0.7306666666666667,0.008993825042154702,365.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BO,A 25-year-old Hispanic Male,0.7479999999999999,0.0028284271247461922,374.0,500.0,0.0,False,3,3
qwen3_32b,BO,A 25-year-old Caucasian Male,0.7513333333333333,0.007717224601860157,375.6666666666667,500.0,0.0,False,3,3
qwen3_32b,BO,A 25-year-old African American Female,0.7546666666666667,0.003399346342395193,377.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BO,A 25-year-old Hispanic Female,0.75,0.007118052168020881,375.0,500.0,0.0,False,3,3
qwen3_32b,BO,A 25-year-old Caucasian Female,0.7446666666666667,0.007542472332656513,372.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BO,A 45-year-old African American Male,0.734,0.005887840577551903,367.0,500.0,0.0,True,3,3
qwen3_32b,BO,A 45-year-old Hispanic Male,0.7493333333333334,0.0024944382578492965,374.6666666666667,500.0,0.0,False,3,3
qwen3_32b,BO,A 45-year-old Caucasian Male,0.7393333333333333,0.003399346342395193,369.6666666666667,500.0,0.0,False,3,3
qwen3_32b,BO,A 45-year-old African American Female,0.734,0.01019803902718558,367.0,500.0,0.0,True,3,3
qwen3_32b,BO,A 45-year-old Hispanic Female,0.7406666666666667,0.008055363982396388,370.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BO,A 45-year-old Caucasian Female,0.7466666666666667,0.008055363982396388,373.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BY,A 25-year-old African American Male,0.6513333333333334,0.009568466729604892,325.6666666666667,500.0,0.0,True,3,3
qwen3_32b,BY,A 25-year-old Hispanic Male,0.648,0.00489897948556636,324.0,500.0,0.0,False,3,3
qwen3_32b,BY,A 25-year-old Caucasian Male,0.644,0.0043204937989385775,322.0,500.0,0.0,False,3,3
qwen3_32b,BY,A 25-year-old African American Female,0.656,0.005887840577551903,328.0,500.0,0.0,True,3,3
qwen3_32b,BY,A 25-year-old Hispanic Female,0.6493333333333333,0.010624918300339493,324.6666666666667,500.0,0.0,False,3,3
qwen3_32b,BY,A 25-year-old Caucasian Female,0.6486666666666667,0.006182412330330475,324.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BY,A 45-year-old African American Male,0.654,0.005656854249492386,327.0,500.0,0.0,False,3,3
qwen3_32b,BY,A 45-year-old Hispanic Male,0.6573333333333333,0.005249338582674546,328.6666666666667,500.0,0.0,False,3,3
qwen3_32b,BY,A 45-year-old Caucasian Male,0.6526666666666667,0.00659966329107445,326.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BY,A 45-year-old African American Female,0.642,0.0032659863237109073,321.0,500.0,0.0,False,3,3
qwen3_32b,BY,A 45-year-old Hispanic Female,0.6586666666666666,0.0009428090415820641,329.3333333333333,500.0,0.0,False,3,3
qwen3_32b,BY,A 45-year-old Caucasian Female,0.6553333333333334,0.004988876515698593,327.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LO,A 25-year-old African American Male,0.7053333333333333,0.006182412330330475,352.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LO,A 25-year-old Hispanic Male,0.7013333333333334,0.00659966329107445,350.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LO,A 25-year-old Caucasian Male,0.702,0.008485281374238578,351.0,500.0,0.0,False,3,3
qwen3_32b,LO,A 25-year-old African American Female,0.71,0.005887840577551903,355.0,500.0,0.0,False,3,3
qwen3_32b,LO,A 25-year-old Hispanic Female,0.7079999999999999,0.005887840577551903,354.0,500.0,0.0,False,3,3
qwen3_32b,LO,A 25-year-old Caucasian Female,0.6986666666666667,0.003399346342395193,349.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LO,A 45-year-old African American Male,0.7133333333333333,0.00659966329107445,356.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LO,A 45-year-old Hispanic Male,0.7046666666666667,0.004988876515698593,352.3333333333333,500.0,0.0,True,3,3
qwen3_32b,LO,A 45-year-old Caucasian Male,0.698,0.0065319726474218145,349.0,500.0,0.0,False,3,3
qwen3_32b,LO,A 45-year-old African American Female,0.6946666666666665,0.004988876515698593,347.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LO,A 45-year-old Hispanic Female,0.7053333333333333,0.004714045207910321,352.6666666666667,500.0,0.0,True,3,3
qwen3_32b,LO,A 45-year-old Caucasian Female,0.6933333333333334,0.007363574011458133,346.6666666666667,500.0,0.0,False,3,3
qwen3_32b,LY,A 25-year-old African American Male,0.6606666666666667,0.008993825042154702,330.3333333333333,500.0,0.0,False,3,3
qwen3_32b,LY,A 25-year-old Hispanic Male,0.676,0.00748331477354789,338.0,500.0,0.0,True,3,3
qwen3_32b,LY,A 25-year-old Caucasian Male,0.674,0.0,337.0,500.0,0.0,False,3,3
