model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
mistral_medium,LO,25_f_b,0.5372354143337423,0.005209388251013069,0.3624841571609632,0.012925271263860028,263.0,263
mistral_medium,LO,25_f_l,0.5421570993144473,0.006017656464478802,0.3548795944233207,0.007812945504396672,263.0,263
mistral_medium,LO,25_f_w,0.5361299611972493,0.0040597553832349385,0.3472750316856781,0.009484556113495426,263.0,263
mistral_medium,LO,45_m_b,0.5380540803826486,0.0035523888581253196,0.3624841571609632,0.008962063132909346,263.0,263
mistral_medium,LO,45_m_l,0.5428015513281307,0.002528496091955923,0.35868187579214195,0.0064626356319300235,263.0,263
mistral_medium,LO,45_m_w,0.5405986344815086,0.0037234338449028768,0.3574144486692015,0.005377237879745603,263.0,263
mistral_medium,LO,45_f_b,0.5404199688049637,0.0035600540059952473,0.35741444866920147,0.011193613265307791,263.0,263
mistral_medium,LO,45_f_l,0.537789508323292,0.002422074868157549,0.3485424588086185,0.0064626356319300235,263.0,263
mistral_medium,LO,45_f_w,0.5449999961328386,0.002122731326672371,0.36375158428390364,0.008962063132909346,263.0,263
mistral_medium,LY,25_m_b,0.5630675497996497,0.002167125105700516,0.432192648922687,0.007812945504396672,263.0,263
mistral_medium,LY,25_m_l,0.5681545693856279,0.003083965863017814,0.44740177439797213,0.018191001387081535,263.0,263
mistral_medium,LY,25_m_w,0.5592682507760328,0.008797462296825105,0.420785804816223,0.009484556113495402,263.0,263
mistral_medium,LY,25_f_b,0.5621696182121824,0.0020258023884504347,0.432192648922687,0.007812945504396672,263.0,263
mistral_medium,LY,25_f_l,0.566104834154833,0.002193695851420834,0.4461343472750317,0.007812945504396675,263.0,263
mistral_medium,LY,25_f_w,0.5590736530299628,0.006201800206629677,0.4347275031685678,0.015931311901110943,263.0,263
mistral_medium,LY,45_m_b,0.5535672842057279,0.0033818910979558857,0.4106463878326996,0.013532418570381887,263.0,263
mistral_medium,LY,45_m_l,0.5633785003841693,0.003887911976135323,0.43346007604562736,0.008213866537906036,263.0,263
