model,group,persona_text,accuracy_mean,accuracy_std,macro_f1_3class_mean,macro_f1_3class_std,macro_f1_binary_mean,macro_f1_binary_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
gpt_oss_120b,WY,A 25-year-old African American Male,0.856596909799824,0.0019355352938745605,0.6007523718481352,0.0013549462232614583,0.9492838128448486,0.0033988910223584946,225.0,262.6666666666667,0.3333333333333333,False,3,3
gpt_oss_120b,WY,A 25-year-old Hispanic Male,0.8504435994930292,0.01090282036380561,0.5971077501850881,0.005224254583731389,0.9449386186607693,0.003954672343239689,223.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Caucasian Male,0.8555133079847909,0.0,0.5998767007015108,0.0005071606384237776,0.9479685929229461,0.0018488320082634406,225.0,263.0,0.0,True,3,3
gpt_oss_120b,WY,A 25-year-old African American Female,0.8529784537389099,0.0017924126265818849,0.6221503414287078,0.0016589658282825347,0.9449637813291428,0.00666325664139402,224.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Hispanic Female,0.8593155893536122,0.005377237879745655,0.6014254599611645,0.0027319118960531207,0.9481723438386811,0.0022079670648839514,226.0,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Caucasian Female,0.8567807351077312,0.004742278056747748,0.6004524286640976,0.002282447203151466,0.9480307413092781,0.0021140189030002697,225.33333333333334,263.0,0.0,True,3,3
gpt_oss_120b,WY,A 45-year-old African American Male,0.8567807351077312,0.0017924126265818849,0.6012157175412005,0.0012855375586673027,0.9506950996098876,0.0020071441235621924,225.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Hispanic Male,0.8567807351077313,0.0017924126265818849,0.6012203665377848,0.0011949417510546247,0.9506972172933842,0.0019844961282267236,225.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Caucasian Male,0.8567807351077313,0.004742278056747749,0.6000470404879817,0.002739639021781127,0.9466832377667059,0.003971908958325687,225.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old African American Female,0.8643852978453738,0.0035848252531637177,0.6128962904493805,0.012977946151904379,0.9510444756477088,0.0020377573590645496,227.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Hispanic Female,0.8542458808618504,0.0047422780567476985,0.5998089757437554,0.001907680124037497,0.9492015401447333,0.00028802513054184726,224.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Caucasian Female,0.8567807351077313,0.0035848252531637697,0.6012088745165162,0.0017669798587725278,0.9507060872967878,0.0020058661264166847,225.33333333333334,263.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old African American Male,0.9239543726235743,0.006209099474735567,0.6310306620834146,0.0027078051852177953,0.9706187326414405,0.0019886863709403456,243.0,263.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old Hispanic Male,0.9340937896070974,0.0017924126265818849,0.636673686992372,4.6726497787382453e-05,0.977371983782819,0.001807192455714438,245.66666666666666,263.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old Caucasian Male,0.9340937896070977,0.0017924126265818849,0.6371205671631,0.0006565954145960308,0.9786797867116936,0.0018287198488894287,245.66666666666666,263.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old African American Female,0.9277566539923955,0.003104549737367761,0.6331932269878539,0.001599903137183577,0.9733195143883032,0.001902860098151344,244.0,263.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old Hispanic Female,0.9328263624841572,0.0017924126265818849,0.635814156737582,0.0006333016481269972,0.9760379953171571,3.9676062236978826e-05,245.33333333333334,263.0,0.0,False,3,3
