model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r2,LO,45_f_l,0.5480356832409242,0.4220532319391635,263,0,263
gpt_oss_120b,r2,LO,45_f_w,0.5550714165350596,0.39543726235741444,263,0,263
gpt_oss_120b,r2,LY,25_m_b,0.564548688476619,0.4618320610687023,262,1,263
gpt_oss_120b,r2,LY,25_m_l,0.5761747534243975,0.49429657794676807,263,0,263
gpt_oss_120b,r2,LY,25_m_w,0.5799695574463377,0.4714828897338403,263,0,263
gpt_oss_120b,r2,LY,25_f_b,0.564710698827934,0.467680608365019,263,0,263
gpt_oss_120b,r2,LY,25_f_l,0.5841913505170875,0.49049429657794674,263,0,263
gpt_oss_120b,r2,LY,25_f_w,0.5658619076931357,0.44106463878326996,263,0,263
gpt_oss_120b,r2,LY,45_m_b,0.5668605487726371,0.44106463878326996,263,0,263
gpt_oss_120b,r2,LY,45_m_l,0.5586902373871618,0.44866920152091255,263,0,263
gpt_oss_120b,r2,LY,45_m_w,0.5748716744623703,0.4790874524714829,263,0,263
gpt_oss_120b,r2,LY,45_f_b,0.5708967001088217,0.4524714828897338,263,0,263
gpt_oss_120b,r2,LY,45_f_l,0.5820924277810765,0.4828897338403042,263,0,263
gpt_oss_120b,r2,LY,45_f_w,0.5770126557531359,0.45627376425855515,263,0,263
gpt_oss_120b,r2,WO,25_m_b,0.6365892914237353,0.5419847328244275,262,1,263
gpt_oss_120b,r2,WO,25_m_l,0.6349150792168784,0.5399239543726235,263,0,263
gpt_oss_120b,r2,WO,25_m_w,0.6484015087173278,0.5703422053231939,263,0,263
gpt_oss_120b,r2,WO,25_f_b,0.6205480174355625,0.5057034220532319,263,0,263
gpt_oss_120b,r2,WO,25_f_l,0.632773495919325,0.5285171102661597,263,0,263
gpt_oss_120b,r2,WO,25_f_w,0.6295776158931655,0.5399239543726235,263,0,263
gpt_oss_120b,r2,WO,45_m_b,0.6369926508542035,0.5247148288973384,263,0,263
gpt_oss_120b,r2,WO,45_m_l,0.6325445595460553,0.5285171102661597,263,0,263
gpt_oss_120b,r2,WO,45_m_w,0.6422717458434547,0.5437262357414449,263,0,263
gpt_oss_120b,r2,WO,45_f_b,0.6411403297614445,0.5247148288973384,263,0,263
gpt_oss_120b,r2,WO,45_f_l,0.6387693830432244,0.5399239543726235,263,0,263
gpt_oss_120b,r2,WO,45_f_w,0.6265892020700794,0.5209125475285171,263,0,263
gpt_oss_120b,r2,WY,25_m_b,0.5614613496068374,0.40076335877862596,262,1,263
gpt_oss_120b,r2,WY,25_m_l,0.5646838553756748,0.4068441064638783,263,0,263
gpt_oss_120b,r2,WY,25_m_w,0.5582595150357426,0.42585551330798477,263,0,263
gpt_oss_120b,r2,WY,25_f_b,0.5631908177283488,0.4220532319391635,263,0,263
gpt_oss_120b,r2,WY,25_f_l,0.5730524608210048,0.43346007604562736,263,0,263
gpt_oss_120b,r2,WY,25_f_w,0.5749740079600786,0.4296577946768061,263,0,263
gpt_oss_120b,r2,WY,45_m_b,0.5663201450673938,0.4144486692015209,263,0,263
gpt_oss_120b,r2,WY,45_m_l,0.56617004894247,0.41064638783269963,263,0,263
gpt_oss_120b,r2,WY,45_m_w,0.5695308348733272,0.4068441064638783,263,0,263
gpt_oss_120b,r2,WY,45_f_b,0.5548424360617562,0.3726235741444867,263,0,263
gpt_oss_120b,r2,WY,45_f_l,0.570223898195976,0.39923954372623577,263,0,263
gpt_oss_120b,r2,WY,45_f_w,0.5708606747483531,0.4296577946768061,263,0,263
gpt_oss_120b,r3,BO,25_m_b,0.6014623828708571,0.4714828897338403,263,0,263
gpt_oss_120b,r3,BO,25_m_l,0.599091023675058,0.4714828897338403,263,0,263
gpt_oss_120b,r3,BO,25_m_w,0.5901023545901651,0.46387832699619774,263,0,263
gpt_oss_120b,r3,BO,25_f_b,0.5832121576516167,0.44866920152091255,263,0,263
gpt_oss_120b,r3,BO,25_f_l,0.6101956793673997,0.5209125475285171,263,0,263
gpt_oss_120b,r3,BO,25_f_w,0.5806490192917828,0.43346007604562736,263,0,263
gpt_oss_120b,r3,BO,45_m_b,0.602721135758941,0.5057034220532319,263,0,263
gpt_oss_120b,r3,BO,45_m_l,0.5949677787892996,0.4828897338403042,263,0,263
