model,run,group,persona_text,accuracy,macro_f1_3class,macro_f1_binary,correct,total,missing,matches_group
mistral_medium,r1,BO,A 25-year-old Caucasian Female,0.9315589353612167,0.6366076057454789,0.9799277398635087,245,263,0,False
mistral_medium,r1,BO,A 45-year-old African American Male,0.9277566539923955,0.6328438593027905,0.9720245203407372,244,263,0,True
mistral_medium,r1,BO,A 45-year-old Hispanic Male,0.935361216730038,0.6367067276158186,0.9760941057424741,246,263,0,False
mistral_medium,r1,BO,A 45-year-old Caucasian Male,0.9277566539923955,0.6353229262320171,0.9798559987056064,244,263,0,False
mistral_medium,r1,BO,A 45-year-old African American Female,0.935361216730038,0.6367067276158186,0.9760941057424741,246,263,0,True
mistral_medium,r1,BO,A 45-year-old Hispanic Female,0.9391634980988594,0.639322601468571,0.9800881809130991,247,263,0,False
mistral_medium,r1,BO,A 45-year-old Caucasian Female,0.9315589353612167,0.6354318586938908,0.9760099401044985,245,263,0,False
mistral_medium,r1,BY,A 25-year-old African American Male,0.7642585551330798,0.5571827540045238,0.9219378620326487,201,263,0,True
mistral_medium,r1,BY,A 25-year-old Hispanic Male,0.7680608365019012,0.55994227994228,0.9265065318162664,202,263,0,False
mistral_medium,r1,BY,A 25-year-old Caucasian Male,0.7680608365019012,0.55994227994228,0.9265065318162664,202,263,0,False
mistral_medium,r1,BY,A 25-year-old African American Female,0.7604562737642585,0.5556173526140156,0.9215990478821754,200,263,0,True
mistral_medium,r1,BY,A 25-year-old Hispanic Female,0.7680608365019012,0.55994227994228,0.9265065318162664,202,263,0,False
mistral_medium,r1,BY,A 25-year-old Caucasian Female,0.7642585551330798,0.5595121724153982,0.9304825455403695,201,263,0,False
mistral_medium,r1,BY,A 45-year-old African American Male,0.7604562737642585,0.5556173526140156,0.9215990478821754,200,263,0,False
mistral_medium,r1,BY,A 45-year-old Hispanic Male,0.7680608365019012,0.55994227994228,0.9265065318162664,202,263,0,False
mistral_medium,r1,BY,A 45-year-old Caucasian Male,0.7604562737642585,0.5579449789976105,0.9301781809521747,200,263,0,False
mistral_medium,r1,BY,A 45-year-old African American Female,0.7680608365019012,0.55994227994228,0.9265065318162664,202,263,0,False
mistral_medium,r1,BY,A 45-year-old Hispanic Female,0.7718631178707225,0.5627336933942667,0.9311216429699842,203,263,0,False
mistral_medium,r1,BY,A 45-year-old Caucasian Female,0.7642585551330798,0.5583894017628958,0.9261904761904762,201,263,0,False
mistral_medium,r1,LO,A 25-year-old African American Male,0.8783269961977186,0.6022201665124883,0.9309565530681427,231,263,0,False
mistral_medium,r1,LO,A 25-year-old Hispanic Male,0.8821292775665399,0.604801135487056,0.9349721402818748,232,263,0,False
mistral_medium,r1,LO,A 25-year-old Caucasian Male,0.8821292775665399,0.604801135487056,0.9349721402818748,232,263,0,False
mistral_medium,r1,LO,A 25-year-old African American Female,0.8745247148288974,0.6009026434558349,0.9307198600867858,230,263,0,False
mistral_medium,r1,LO,A 25-year-old Hispanic Female,0.8821292775665399,0.604801135487056,0.9349721402818748,232,263,0,False
mistral_medium,r1,LO,A 25-year-old Caucasian Female,0.8783269961977186,0.6045998445998446,0.9385767790262172,231,263,0,False
mistral_medium,r1,LO,A 45-year-old African American Male,0.8745247148288974,0.6009026434558349,0.9307198600867858,230,263,0,False
mistral_medium,r1,LO,A 45-year-old Hispanic Male,0.8821292775665399,0.604801135487056,0.9349721402818748,232,263,0,True
mistral_medium,r1,LO,A 45-year-old Caucasian Male,0.8745247148288974,0.6032815521866617,0.9383647798742139,230,263,0,False
mistral_medium,r1,LO,A 45-year-old African American Female,0.8821292775665399,0.604801135487056,0.9349721402818748,232,263,0,False
mistral_medium,r1,LO,A 45-year-old Hispanic Female,0.8783269961977186,0.6022201665124883,0.9309565530681427,231,263,0,True
mistral_medium,r1,LO,A 45-year-old Caucasian Female,0.8783269961977186,0.6034931252322556,0.9347510236428478,231,263,0,False
mistral_medium,r1,LY,A 25-year-old African American Male,0.8897338403041825,0.6168843016133657,0.9629529246353734,234,263,0,False
mistral_medium,r1,LY,A 25-year-old Hispanic Male,0.8935361216730038,0.6195511617236057,0.9670642450528599,235,263,0,True
mistral_medium,r1,LY,A 25-year-old Caucasian Male,0.8935361216730038,0.6195511617236057,0.9670642450528599,235,263,0,False
mistral_medium,r1,LY,A 25-year-old African American Female,0.8859315589353612,0.6154892726321298,0.9628042011783793,233,263,0,False
mistral_medium,r1,LY,A 25-year-old Hispanic Female,0.8935361216730038,0.6195511617236057,0.9670642450528599,235,263,0,True
mistral_medium,r1,LY,A 25-year-old Caucasian Female,0.8935361216730038,0.6496388857044595,0.9669331147092983,235,263,0,False
mistral_medium,r1,LY,A 45-year-old African American Male,0.8935361216730038,0.6497994069422641,0.9629529246353734,235,263,0,False
mistral_medium,r1,LY,A 45-year-old Hispanic Male,0.8935361216730038,0.6195511617236057,0.9670642450528599,235,263,0,False
mistral_medium,r1,LY,A 45-year-old Caucasian Male,0.8897338403041825,0.6469254612519045,0.9667998346879736,234,263,0,False
mistral_medium,r1,LY,A 45-year-old African American Female,0.8935361216730038,0.6195511617236057,0.9670642450528599,235,263,0,False
mistral_medium,r1,LY,A 45-year-old Hispanic Female,0.8973384030418251,0.6221596684650872,0.9711856080497349,236,263,0,False
mistral_medium,r1,LY,A 45-year-old Caucasian Female,0.8897338403041825,0.6181667818185624,0.9669331147092983,234,263,0,False
mistral_medium,r1,WO,A 25-year-old African American Male,0.908745247148289,0.6227824463118581,0.9634475869184285,239,263,0,False
mistral_medium,r1,WO,A 25-year-old Hispanic Male,0.9125475285171103,0.6253452010635786,0.9674860701409373,240,263,0,False
mistral_medium,r1,WO,A 25-year-old Caucasian Male,0.9125475285171103,0.6253452010635786,0.9674860701409373,240,263,0,False
mistral_medium,r1,WO,A 25-year-old African American Female,0.9049429657794676,0.6214985994397759,0.9633222788694749,238,263,0,False
mistral_medium,r1,WO,A 25-year-old Hispanic Female,0.9125475285171103,0.6253452010635786,0.9674860701409373,240,263,0,False
mistral_medium,r1,WO,A 25-year-old Caucasian Female,0.9125475285171103,0.6644535451311326,0.9673755118214238,240,263,0,False
mistral_medium,r1,WO,A 45-year-old African American Male,0.9125475285171103,0.6656162464985994,0.9634475869184285,240,263,0,False
mistral_medium,r1,WO,A 45-year-old Hispanic Male,0.9125475285171103,0.6253452010635786,0.9674860701409373,240,263,0,False
mistral_medium,r1,WO,A 45-year-old Caucasian Male,0.908745247148289,0.660990618345002,0.9672632909707898,239,263,0,True
mistral_medium,r1,WO,A 45-year-old African American Female,0.9125475285171103,0.6253452010635786,0.9674860701409373,240,263,0,False
mistral_medium,r1,WO,A 45-year-old Hispanic Female,0.9163498098859315,0.6280255692020398,0.971570345381,241,263,0,False
mistral_medium,r1,WO,A 45-year-old Caucasian Female,0.908745247148289,0.6240707253365482,0.9673755118214238,239,263,0,True
mistral_medium,r1,WY,A 25-year-old African American Male,0.8555133079847909,0.5969085553197555,0.9374728614850196,225,263,0,False
mistral_medium,r1,WY,A 25-year-old Hispanic Male,0.8593155893536122,0.5995986480777354,0.9416301855326246,226,263,0,False
mistral_medium,r1,WY,A 25-year-old Caucasian Male,0.8593155893536122,0.5995986480777354,0.9416301855326246,226,263,0,True
mistral_medium,r1,WY,A 25-year-old African American Female,0.8517110266159695,0.5954754296434079,0.9372209088521145,224,263,0,False
mistral_medium,r1,WY,A 25-year-old Hispanic Female,0.8593155893536122,0.5995986480777354,0.9416301855326246,226,263,0,False
mistral_medium,r1,WY,A 25-year-old Caucasian Female,0.8593155893536122,0.6259642401021711,0.9413969454953062,226,263,0,True
mistral_medium,r1,WY,A 45-year-old African American Male,0.8517110266159695,0.5954754296434079,0.9372209088521145,224,263,0,False
mistral_medium,r1,WY,A 45-year-old Hispanic Male,0.8593155893536122,0.5995986480777354,0.9416301855326246,226,263,0,False
mistral_medium,r1,WY,A 45-year-old Caucasian Male,0.8555133079847909,0.6235042735042735,0.9411598502507593,225,263,0,False
mistral_medium,r1,WY,A 45-year-old African American Female,0.8593155893536122,0.5995986480777354,0.9416301855326246,226,263,0,False
mistral_medium,r1,WY,A 45-year-old Hispanic Female,0.8631178707224335,0.6022193363107493,0.945809813287017,227,263,0,False
mistral_medium,r1,WY,A 45-year-old Caucasian Female,0.8555133079847909,0.5981764206955047,0.9413969454953062,225,263,0,False
qwen3_32b,r1,BO,A 25-year-old African American Male,0.8973384030418251,0.6133422511375267,0.9439856603290442,236,263,0,False
qwen3_32b,r1,BO,A 25-year-old Hispanic Male,0.9277566539923955,0.6315874311159468,0.9681818181818183,244,263,0,False
qwen3_32b,r1,BO,A 25-year-old African American Female,0.8517110266159695,0.5810816268831536,0.8924029530840676,224,263,0,False
qwen3_32b,r1,BO,A 25-year-old Hispanic Female,0.935361216730038,0.6855868939336034,0.9799612048926722,246,263,0,False
qwen3_32b,r1,BO,A 25-year-old Caucasian Female,0.9315589353612167,0.6341647770219199,0.9721481013657536,245,263,0,False
qwen3_32b,r1,BO,A 45-year-old African American Male,0.870722433460076,0.6414511086877499,0.9119774662313552,229,263,0,True
qwen3_32b,r1,BO,A 45-year-old Hispanic Male,0.9125475285171103,0.6754109616705036,0.948372862658577,240,263,0,False
qwen3_32b,r1,BO,A 45-year-old Caucasian Male,0.9011406844106464,0.6677343146608514,0.936491935483871,237,263,0,False
qwen3_32b,r1,BO,A 45-year-old Hispanic Female,0.8973384030418251,0.6120808080808081,0.9401782735116069,236,263,0,False
qwen3_32b,r1,BO,A 25-year-old Caucasian Male,0.9315589353612167,0.6341647770219199,0.9721481013657536,245,263,0,False
qwen3_32b,r1,BO,A 45-year-old African American Female,0.8555133079847909,0.6259791055529823,0.9068764855339726,225,263,0,True
qwen3_32b,r1,BO,A 45-year-old Caucasian Female,0.935361216730038,0.6366339128243891,0.9761167624944714,246,263,0,False
qwen3_32b,r1,BY,A 25-year-old African American Male,0.7338403041825095,0.5373044104996397,0.8935162362019076,193,263,0,True
qwen3_32b,r1,BY,A 25-year-old Hispanic Male,0.7604562737642585,0.5543100962924523,0.9173685983827493,200,263,0,False
qwen3_32b,r1,BY,A 25-year-old African American Female,0.6806083650190115,0.4968655219007522,0.8244336569579288,179,263,0,True
qwen3_32b,r1,BY,A 25-year-old Hispanic Female,0.752851711026616,0.5524263229181262,0.9209233898011726,198,263,0,False
qwen3_32b,r1,BY,A 25-year-old Caucasian Female,0.7604562737642585,0.554355975408607,0.9173685983827493,200,263,0,False
qwen3_32b,r1,BY,A 45-year-old African American Male,0.7072243346007605,0.5299684765587673,0.856231884057971,186,263,0,False
qwen3_32b,r1,BY,A 45-year-old Hispanic Male,0.7490494296577946,0.5589697989422623,0.8990740740740741,197,263,0,False
qwen3_32b,r1,BY,A 45-year-old Caucasian Male,0.7376425855513308,0.5505716479908528,0.8852993791434284,194,263,0,False
qwen3_32b,r1,BY,A 45-year-old Hispanic Female,0.7490494296577946,0.5471969999479157,0.9078164825828376,197,263,0,False
qwen3_32b,r1,BY,A 25-year-old Caucasian Male,0.7566539923954373,0.5516569200779727,0.9127981641718773,199,263,0,False
qwen3_32b,r1,BY,A 45-year-old African American Female,0.7072243346007605,0.5220353417074729,0.8772601763605594,186,263,0,False
qwen3_32b,r1,BY,A 45-year-old Caucasian Female,0.7604562737642585,0.554355975408607,0.9173685983827493,200,263,0,False
qwen3_32b,r1,LO,A 25-year-old African American Male,0.8403041825095057,0.5787711109050254,0.8982377761231075,221,263,0,False
qwen3_32b,r1,LO,A 25-year-old Hispanic Male,0.8821292775665399,0.6046110751993106,0.9350615344330977,232,263,0,False
qwen3_32b,r1,LO,A 25-year-old African American Female,0.8174904942965779,0.5620693897637795,0.8704262295081967,215,263,0,False
qwen3_32b,r1,LO,A 25-year-old Hispanic Female,0.870722433460076,0.6349787126563249,0.9264354066985645,229,263,0,False
qwen3_32b,r1,LO,A 25-year-old Caucasian Female,0.8821292775665399,0.6047409323765233,0.9350615344330977,232,263,0,False
qwen3_32b,r1,LO,A 45-year-old African American Male,0.8022813688212928,0.5538057742782152,0.8612221777955484,211,263,0,False
qwen3_32b,r1,LO,A 45-year-old Hispanic Male,0.8517110266159695,0.5853568347097251,0.9066622853856896,224,263,0,True
qwen3_32b,r1,LO,A 45-year-old Caucasian Male,0.844106463878327,0.6192048517520216,0.8909144225599921,222,263,0,False
qwen3_32b,r1,LO,A 45-year-old Hispanic Female,0.8479087452471483,0.5825212779079808,0.9024743353514082,223,263,0,True
qwen3_32b,r1,LO,A 25-year-old Caucasian Male,0.870722433460076,0.5970618128060612,0.9229347594982256,229,263,0,False
qwen3_32b,r1,LO,A 45-year-old African American Female,0.7984790874524715,0.5544884871690258,0.8677324588371934,210,263,0,False
qwen3_32b,r1,LO,A 45-year-old Caucasian Female,0.8821292775665399,0.6047409323765233,0.9350615344330977,232,263,0,False
qwen3_32b,r1,LY,A 25-year-old African American Male,0.8479087452471483,0.589885752688172,0.9252790409260025,223,263,0,False
qwen3_32b,r1,LY,A 25-year-old Hispanic Male,0.8821292775665399,0.6114653663415853,0.9547294436446778,232,263,0,True
qwen3_32b,r1,LY,A 25-year-old African American Female,0.8098859315589354,0.5617377090406136,0.8797031145545862,213,263,0,False
qwen3_32b,r1,LY,A 25-year-old Hispanic Female,0.8745247148288974,0.6098705296896086,0.9583333333333334,230,263,0,True
qwen3_32b,r1,LY,A 25-year-old Caucasian Female,0.8897338403041825,0.6166976693292483,0.9629529246353734,234,263,0,False
qwen3_32b,r1,LY,A 45-year-old African American Male,0.8098859315589354,0.5640294154938507,0.8870588235294118,213,263,0,False
qwen3_32b,r1,LY,A 45-year-old Hispanic Male,0.8593155893536122,0.5966579874726814,0.9338662294185966,226,263,0,False
qwen3_32b,r1,LY,A 45-year-old Caucasian Male,0.8403041825095057,0.5834248366013072,0.9131860810741557,221,263,0,False
qwen3_32b,r1,LY,A 45-year-old Hispanic Female,0.8669201520912547,0.631104000669218,0.9341463414634146,228,263,0,False
qwen3_32b,r1,LY,A 25-year-old Caucasian Male,0.8783269961977186,0.6088506088506088,0.9506097560975609,231,263,0,False
qwen3_32b,r1,LY,A 45-year-old African American Female,0.8060836501901141,0.5648801994096705,0.8942436412315931,212,263,0,False
qwen3_32b,r1,LY,A 45-year-old Caucasian Female,0.8859315589353612,0.6139986139986141,0.9588303063160748,233,263,0,False
qwen3_32b,r1,WO,A 25-year-old African American Male,0.8555133079847909,0.5891566265060241,0.9145197319434102,225,263,0,False
qwen3_32b,r1,WO,A 25-year-old Hispanic Male,0.9011406844106464,0.6175708211669484,0.9553832818147621,237,263,0,False
qwen3_32b,r1,WO,A 25-year-old African American Female,0.8288973384030418,0.5700107144871144,0.8825833948037046,218,263,0,False
qwen3_32b,r1,WO,A 25-year-old Hispanic Female,0.8935361216730038,0.6162106135986734,0.9589862059729477,235,263,0,False
qwen3_32b,r1,WO,A 25-year-old Caucasian Female,0.9049429657794676,0.620120951209512,0.959413459020686,238,263,0,False
qwen3_32b,r1,WO,A 45-year-old African American Male,0.8212927756653993,0.5670082316647805,0.8816326530612245,216,263,0,False
qwen3_32b,r1,WO,A 45-year-old Hispanic Male,0.8821292775665399,0.6061483043672357,0.9391275774254497,232,263,0,False
qwen3_32b,r1,WO,A 45-year-old Caucasian Male,0.8593155893536122,0.5904333907904457,0.9147786083956297,226,263,0,True
qwen3_32b,r1,WO,A 45-year-old Hispanic Female,0.8783269961977186,0.6424624566807855,0.9271873165002936,231,263,0,False
qwen3_32b,r1,WO,A 25-year-old Caucasian Male,0.8973384030418251,0.6148831488314883,0.9512961508248232,236,263,0,False
qwen3_32b,r1,WO,A 45-year-old African American Female,0.8136882129277566,0.5649673202614379,0.8842659014825442,214,263,0,False
qwen3_32b,r1,WO,A 45-year-old Caucasian Female,0.8973384030418251,0.6148831488314883,0.9512961508248232,236,263,0,True
qwen3_32b,r1,WY,A 25-year-old African American Male,0.8326996197718631,0.5828392936826672,0.9201666578394505,219,263,0,False
qwen3_32b,r1,WY,A 25-year-old Hispanic Male,0.8593155893536122,0.5991307466717303,0.9416301855326246,226,263,0,False
qwen3_32b,r1,WY,A 25-year-old African American Female,0.8022813688212928,0.5600974782792965,0.8825964912280702,211,263,0,False
qwen3_32b,r1,WY,A 25-year-old Hispanic Female,0.8555133079847909,0.6232935852477574,0.9411723163841808,225,263,0,False
qwen3_32b,r1,WY,A 25-year-old Caucasian Female,0.8593155893536122,0.5993985438429883,0.9416504584606835,226,263,0,True
qwen3_32b,r1,WY,A 45-year-old African American Male,0.7908745247148289,0.554059829059829,0.8772086541725475,208,263,0,False
qwen3_32b,r1,WY,A 45-year-old Hispanic Male,0.8365019011406845,0.5843597883597883,0.9204965246774165,220,263,0,False
qwen3_32b,r1,WY,A 45-year-old Caucasian Male,0.8174904942965779,0.5710491367861886,0.8995657655133773,215,263,0,False
qwen3_32b,r1,WY,A 45-year-old Hispanic Female,0.844106463878327,0.6148152851861259,0.920831958888175,222,263,0,False
qwen3_32b,r1,WY,A 25-year-old Caucasian Male,0.8517110266159695,0.59409095705392,0.9333148096693527,224,263,0,True
qwen3_32b,r1,WY,A 45-year-old African American Female,0.7870722433460076,0.5551739778396941,0.88451203685086,207,263,0,False
qwen3_32b,r1,WY,A 45-year-old Caucasian Female,0.8631178707224335,0.6017832647462277,0.9457872148181612,227,263,0,False
gpt_oss_120b,r2,BO,A 25-year-old African American Male,0.9351145038167938,0.6388084232152029,0.9838206627680312,245,262,1,False
gpt_oss_120b,r2,BO,A 25-year-old Hispanic Male,0.9315589353612167,0.637473468865874,0.9838206627680312,245,263,0,False
gpt_oss_120b,r2,BO,A 25-year-old Caucasian Male,0.935361216730038,0.6401275838802675,0.98787357348095,246,263,0,False
